2024-01-23 17:44:23,238 :- 00001: Feedback Code Starting
2024-01-23 17:44:23,260 :- 00002: 213 , 30.00 , -0.20 || 1706012063, 17.601674170000 , 78.126609416412, 0.01 , 0.01 ,26.81 , 9.62 , 1.01 , 0.07 , 359.04
2024-01-23 17:44:23,290 :- 00003: 216 , 30.00 , -0.20 || 1706012063, 17.601674170000 , 78.126609416412, 0.01 , 0.01 ,26.81 , 9.13 , 0.97 , 0.04 , 359.05
2024-01-23 17:44:23,320 :- 00004: 219 , 30.00 , -0.20 || 1706012063, 17.601674170000 , 78.126609416412, 0.01 , 0.01 ,27.00 , 9.64 , 1.00 , 0.03 , 359.05
2024-01-23 17:44:23,351 :- 00005: 222 , 30.00 , -0.20 || 1706012063, 17.601680944721 , 78.126609336732, 0.01 , 0.01 ,27.00 , 10.12 , 1.03 , 0.03 , 359.07
2024-01-23 17:44:23,380 :- 00006: 225 , 30.00 , -0.20 || 1706012063, 17.601680944721 , 78.126609336732, 0.01 , 0.01 ,27.00 , 9.28 , 1.01 , -0.01 , 359.08
2024-01-23 17:44:23,410 :- 00007: 228 , 30.00 , -0.20 || 1706012063, 17.601680944721 , 78.126609336732, 0.01 , 0.01 ,27.00 , 9.57 , 1.02 , -0.01 , 359.09
2024-01-23 17:44:23,440 :- 00008: 231 , 30.00 , -0.20 || 1706012063, 17.601687764470 , 78.126609271306, 0.01 , 0.01 ,27.18 , 10.01 , 1.06 , -0.05 , 359.10
2024-01-23 17:44:23,470 :- 00009: 234 , 30.00 , -0.10 || 1706012063, 17.601687764470 , 78.126609271306, 0.01 , 0.01 ,27.18 , 9.60 , 1.02 , -0.11 , 359.11
2024-01-23 17:44:23,500 :- 00010: 237 , 30.00 , -0.10 || 1706012063, 17.601687764470 , 78.126609271306, 0.01 , 0.01 ,27.18 , 10.03 , 1.05 , -0.12 , 359.12
2024-01-23 17:44:23,530 :- 00011: 240 , 30.00 , -0.10 || 1706012063, 17.601694642548 , 78.126609207410, 0.01 , 0.01 ,27.41 , 10.27 , 1.07 , -0.18 , 359.13
2024-01-23 17:44:23,560 :- 00012: 243 , 30.00 , -0.10 || 1706012063, 17.601694642548 , 78.126609207410, 0.01 , 0.01 ,27.41 , 9.30 , 1.04 , -0.18 , 359.14
2024-01-23 17:44:23,591 :- 00013: 246 , 30.00 , -0.10 || 1706012063, 17.601694642548 , 78.126609207410, 0.01 , 0.01 ,27.41 , 10.40 , 1.10 , -0.21 , 359.15
2024-01-23 17:44:23,620 :- 00014: 249 , 30.00 , -0.10 || 1706012063, 17.601694642548 , 78.126609207410, 0.01 , 0.01 ,27.66 , 10.11 , 1.10 , -0.24 , 359.16
2024-01-23 17:44:23,650 :- 00015: 252 , 30.00 , -0.10 || 1706012063, 17.601701585177 , 78.126609143215, 0.01 , 0.01 ,27.66 , 10.01 , 1.09 , -0.25 , 359.17
2024-01-23 17:44:23,680 :- 00016: 255 , 30.00 , -0.10 || 1706012063, 17.601701585177 , 78.126609143215, 0.01 , 0.01 ,27.66 , 9.74 , 1.14 , -0.25 , 359.17
2024-01-23 17:44:23,710 :- 00017: 002 , 30.00 , -0.10 || 1706012063, 17.601701585177 , 78.126609143215, 0.01 , 0.01 ,27.66 , 10.48 , 1.16 , -0.25 , 359.17
2024-01-23 17:44:23,740 :- 00018: 005 , 30.00 , -0.10 || 1706012063, 17.601708608922 , 78.126609088027, 0.01 , 0.01 ,27.99 , 9.94 , 1.17 , -0.28 , 359.18
2024-01-23 17:44:23,771 :- 00019: 008 , 30.00 , -0.10 || 1706012063, 17.601708608922 , 78.126609088027, 0.01 , 0.01 ,27.99 , 9.83 , 1.16 , -0.22 , 359.19
2024-01-23 17:44:23,800 :- 00020: 011 , 30.00 , -0.20 || 1706012063, 17.601708608922 , 78.126609088027, 0.01 , 0.01 ,27.99 , 10.26 , 1.17 , -0.21 , 359.19
2024-01-23 17:44:23,830 :- 00021: 014 , 30.00 , -0.20 || 1706012063, 17.601715684649 , 78.126609043134, 0.01 , 0.01 ,28.19 , 9.84 , 1.14 , -0.22 , 359.21
2024-01-23 17:44:23,860 :- 00022: 017 , 30.00 , -0.20 || 1706012063, 17.601715684649 , 78.126609043134, 0.01 , 0.01 ,28.19 , 9.62 , 1.13 , -0.17 , 359.21
2024-01-23 17:44:23,891 :- 00023: 020 , 30.00 , -0.10 || 1706012063, 17.601715684649 , 78.126609043134, 0.01 , 0.01 ,28.19 , 9.88 , 1.16 , -0.15 , 359.21
2024-01-23 17:44:23,920 :- 00024: 023 , 30.00 , -0.10 || 1706012063, 17.601715684649 , 78.126609043134, 0.01 , 0.01 ,28.50 , 9.67 , 1.15 , -0.15 , 359.22
2024-01-23 17:44:23,950 :- 00025: 026 , 30.00 , -0.10 || 1706012063, 17.601722837960 , 78.126608973871, 0.01 , 0.01 ,28.50 , 9.70 , 1.15 , -0.11 , 359.22
2024-01-23 17:44:23,980 :- 00026: 029 , 30.00 , -0.10 || 1706012063, 17.601722837960 , 78.126608973871, 0.01 , 0.01 ,28.50 , 9.53 , 1.12 , -0.11 , 359.22
