2024-01-22 16:48:58,284 :- 00001: Feedback Code Starting
2024-01-22 16:48:58,311 :- 00002: 086 , 20.00 , -0.10 || 1705922338, 17.601623813677 , 78.126609756978, 0.01 , 0.01 ,24.82 , 9.69 , 0.77 , -0.25 , 359.42
2024-01-22 16:48:58,340 :- 00003: 089 , 20.00 , -0.10 || 1705922338, 17.601630055269 , 78.126609664144, 0.01 , 0.01 ,24.87 , 9.60 , 0.75 , -0.25 , 359.41
2024-01-22 16:48:58,370 :- 00004: 092 , 20.00 , -0.10 || 1705922338, 17.601630055269 , 78.126609664144, 0.01 , 0.01 ,24.87 , 9.76 , 0.73 , -0.28 , 359.40
2024-01-22 16:48:58,400 :- 00005: 095 , 20.00 , -0.10 || 1705922338, 17.601630055269 , 78.126609664144, 0.01 , 0.01 ,24.87 , 9.85 , 0.73 , -0.29 , 359.40
2024-01-22 16:48:58,430 :- 00006: 098 , 20.00 , -0.10 || 1705922338, 17.601636274083 , 78.126609573856, 0.01 , 0.01 ,24.78 , 9.97 , 0.72 , -0.32 , 359.39
2024-01-22 16:48:58,460 :- 00007: 101 , 20.00 , -0.10 || 1705922338, 17.601636274083 , 78.126609573856, 0.01 , 0.01 ,24.78 , 9.82 , 0.72 , -0.32 , 359.39
2024-01-22 16:48:58,490 :- 00008: 104 , 20.00 , -0.10 || 1705922338, 17.601636274083 , 78.126609573856, 0.01 , 0.01 ,24.78 , 9.72 , 0.71 , -0.35 , 359.38
2024-01-22 16:48:58,520 :- 00009: 107 , 20.00 , -0.10 || 1705922338, 17.601636274083 , 78.126609573856, 0.01 , 0.01 ,24.81 , 9.62 , 0.70 , -0.35 , 359.38
2024-01-22 16:48:58,550 :- 00010: 110 , 20.00 , -0.10 || 1705922338, 17.601642498926 , 78.126609502058, 0.01 , 0.01 ,24.81 , 9.94 , 0.69 , -0.35 , 359.37
2024-01-22 16:48:58,580 :- 00011: 113 , 20.00 , -0.10 || 1705922338, 17.601642498926 , 78.126609502058, 0.01 , 0.01 ,24.81 , 10.05 , 0.69 , -0.36 , 359.36
2024-01-22 16:48:58,610 :- 00012: 116 , 20.00 , -0.10 || 1705922338, 17.601642498926 , 78.126609502058, 0.01 , 0.01 ,24.81 , 9.97 , 0.68 , -0.37 , 359.35
2024-01-22 16:48:58,640 :- 00013: 119 , 20.00 , -0.10 || 1705922338, 17.601648732600 , 78.126609434537, 0.01 , 0.01 ,24.84 , 9.94 , 0.69 , -0.37 , 359.35
2024-01-22 16:48:58,670 :- 00014: 122 , 20.00 , -0.10 || 1705922338, 17.601648732600 , 78.126609434537, 0.01 , 0.01 ,24.84 , 9.98 , 0.70 , -0.35 , 359.34
2024-01-22 16:48:58,700 :- 00015: 125 , 20.00 , -0.10 || 1705922338, 17.601648732600 , 78.126609434537, 0.01 , 0.01 ,24.84 , 10.04 , 0.69 , -0.35 , 359.34
2024-01-22 16:48:58,730 :- 00016: 128 , 20.00 , -0.10 || 1705922338, 17.601654963819 , 78.126609345286, 0.01 , 0.01 ,24.83 , 9.98 , 0.67 , -0.34 , 359.33
2024-01-22 16:48:58,760 :- 00017: 131 , 20.00 , -0.20 || 1705922338, 17.601654963819 , 78.126609345286, 0.01 , 0.01 ,24.83 , 9.87 , 0.66 , -0.32 , 359.33
2024-01-22 16:48:58,790 :- 00018: 134 , 20.00 , -0.20 || 1705922338, 17.601654963819 , 78.126609345286, 0.01 , 0.01 ,24.83 , 9.61 , 0.65 , -0.28 , 359.32
2024-01-22 16:48:58,820 :- 00019: 137 , 20.00 , -0.20 || 1705922338, 17.601654963819 , 78.126609345286, 0.01 , 0.01 ,24.86 , 10.00 , 0.64 , -0.28 , 359.31
2024-01-22 16:48:58,850 :- 00020: 140 , 20.00 , -0.20 || 1705922338, 17.601661202272 , 78.126609244820, 0.01 , 0.01 ,24.86 , 9.79 , 0.62 , -0.22 , 359.30
2024-01-22 16:48:58,880 :- 00021: 143 , 20.00 , -0.20 || 1705922338, 17.601661202272 , 78.126609244820, 0.01 , 0.01 ,24.86 , 9.56 , 0.62 , -0.21 , 359.29
