2024-02-16 16:23:04,743 :- 00001: Feedback Code Starting
2024-02-16 16:23:04,764 :- 00002: 249 , 10.00 , -0.20 || 1708080784, 17.601684321264 , 78.126609352451, 0.01 , 0.01 ,10.10 , 9.79 , 0.89 , -0.12 , 359.00
2024-02-16 16:23:04,794 :- 00003: 252 , 10.00 , -0.20 || 1708080784, 17.601684321264 , 78.126609352451, 0.01 , 0.01 ,10.10 , 9.67 , 0.88 , -0.14 , 359.00
2024-02-16 16:23:04,824 :- 00004: 255 , 10.00 , -0.20 || 1708080784, 17.601684321264 , 78.126609352451, 0.01 , 0.01 ,10.18 , 9.85 , 0.88 , -0.14 , 359.00
2024-02-16 16:23:04,854 :- 00005: 002 , 10.00 , -0.20 || 1708080784, 17.601686876859 , 78.126609293623, 0.01 , 0.01 ,10.18 , 9.76 , 0.88 , -0.17 , 359.00
2024-02-16 16:23:04,884 :- 00006: 005 , 10.00 , -0.20 || 1708080784, 17.601686876859 , 78.126609293623, 0.01 , 0.01 ,10.18 , 9.61 , 0.88 , -0.17 , 359.00
2024-02-16 16:23:04,914 :- 00007: 008 , 10.00 , -0.20 || 1708080784, 17.601686876859 , 78.126609293623, 0.01 , 0.01 ,10.18 , 9.69 , 0.88 , -0.18 , 359.01
2024-02-16 16:23:04,944 :- 00008: 011 , 10.00 , -0.20 || 1708080784, 17.601689419893 , 78.126609250285, 0.01 , 0.01 ,10.18 , 9.85 , 0.88 , -0.18 , 359.01
2024-02-16 16:23:04,974 :- 00009: 014 , 10.00 , -0.20 || 1708080784, 17.601689419893 , 78.126609250285, 0.01 , 0.01 ,10.18 , 9.83 , 0.88 , -0.20 , 359.01
2024-02-16 16:23:05,004 :- 00010: 017 , 10.00 , -0.20 || 1708080784, 17.601689419893 , 78.126609250285, 0.01 , 0.01 ,10.18 , 9.80 , 0.88 , -0.19 , 359.01
2024-02-16 16:23:05,034 :- 00011: 020 , 10.00 , -0.20 || 1708080785, 17.601691968295 , 78.126609223071, 0.01 , 0.01 ,10.09 , 10.01 , 0.89 , -0.20 , 359.01
2024-02-16 16:23:05,064 :- 00012: 023 , 10.00 , -0.20 || 1708080785, 17.601691968295 , 78.126609223071, 0.01 , 0.01 ,10.09 , 9.89 , 0.90 , -0.21 , 359.01
2024-02-16 16:23:05,094 :- 00013: 026 , 10.00 , -0.20 || 1708080785, 17.601691968295 , 78.126609223071, 0.01 , 0.01 ,10.09 , 10.03 , 0.91 , -0.21 , 359.02
2024-02-16 16:23:05,124 :- 00014: 029 , 10.00 , -0.20 || 1708080785, 17.601691968295 , 78.126609223071, 0.01 , 0.01 ,10.24 , 9.73 , 0.92 , -0.21 , 359.02
