2024-02-16 16:28:29,392 :- 00001: Feedback Code Starting
2024-02-16 16:28:29,418 :- 00002: 203 , 27.40 , 00.20 || 1708081109, 17.601696422874 , 78.126610720734, 0.01 , 0.01 ,28.30 , 9.45 , 0.98 , -0.78 , 359.43
2024-02-16 16:28:29,448 :- 00003: 206 , 27.60 , 00.20 || 1708081109, 17.601703497712 , 78.126610661693, 0.01 , 0.01 ,28.30 , 10.08 , 1.00 , -0.77 , 359.42
2024-02-16 16:28:29,478 :- 00004: 209 , 27.70 , 00.20 || 1708081109, 17.601703497712 , 78.126610661693, 0.01 , 0.01 ,28.30 , 9.95 , 1.02 , -0.79 , 359.40
2024-02-16 16:28:29,508 :- 00005: 212 , 27.80 , 00.20 || 1708081109, 17.601703497712 , 78.126610661693, 0.01 , 0.01 ,28.30 , 10.65 , 1.03 , -0.79 , 359.38
2024-02-16 16:28:29,538 :- 00006: 215 , 27.90 , 00.20 || 1708081109, 17.601710663793 , 78.126610584956, 0.01 , 0.01 ,28.71 , 9.79 , 1.03 , -0.79 , 359.36
2024-02-16 16:28:29,568 :- 00007: 218 , 28.00 , 00.20 || 1708081109, 17.601710663793 , 78.126610584956, 0.01 , 0.01 ,28.71 , 10.12 , 1.03 , -0.78 , 359.34
2024-02-16 16:28:29,597 :- 00008: 221 , 28.20 , 00.20 || 1708081109, 17.601710663793 , 78.126610584956, 0.01 , 0.01 ,28.71 , 10.09 , 1.02 , -0.73 , 359.31
2024-02-16 16:28:29,628 :- 00009: 224 , 28.30 , 00.20 || 1708081109, 17.601710663793 , 78.126610584956, 0.01 , 0.01 ,29.27 , 9.73 , 1.01 , -0.73 , 359.30
2024-02-16 16:28:29,657 :- 00010: 227 , 28.40 , 00.20 || 1708081109, 17.601717983672 , 78.126610507404, 0.01 , 0.01 ,29.27 , 10.11 , 1.00 , -0.67 , 359.27
2024-02-16 16:28:29,687 :- 00011: 230 , 28.50 , 00.20 || 1708081109, 17.601717983672 , 78.126610507404, 0.01 , 0.01 ,29.27 , 9.45 , 1.01 , -0.64 , 359.26
2024-02-16 16:28:29,717 :- 00012: 233 , 28.60 , 00.20 || 1708081109, 17.601717983672 , 78.126610507404, 0.01 , 0.01 ,29.57 , 10.26 , 1.01 , -0.62 , 359.23
2024-02-16 16:28:29,747 :- 00013: 236 , 28.70 , 00.20 || 1708081109, 17.601725369046 , 78.126610401234, 0.01 , 0.01 ,29.57 , 9.33 , 0.99 , -0.58 , 359.22
2024-02-16 16:28:29,777 :- 00014: 239 , 28.80 , 00.20 || 1708081109, 17.601725369046 , 78.126610401234, 0.01 , 0.01 ,29.57 , 9.95 , 0.98 , -0.56 , 359.19
2024-02-16 16:28:29,807 :- 00015: 242 , 28.90 , 00.20 || 1708081109, 17.601725369046 , 78.126610401234, 0.01 , 0.01 ,29.57 , 9.38 , 0.97 , -0.55 , 359.18
2024-02-16 16:28:29,837 :- 00016: 245 , 29.00 , 00.20 || 1708081109, 17.601732834399 , 78.126610351351, 0.01 , 0.01 ,29.83 , 9.41 , 0.96 , -0.52 , 359.16
2024-02-16 16:28:29,867 :- 00017: 248 , 29.10 , 00.20 || 1708081109, 17.601732834399 , 78.126610351351, 0.01 , 0.01 ,29.83 , 9.34 , 0.94 , -0.52 , 359.15
2024-02-16 16:28:29,897 :- 00018: 251 , 29.20 , 00.20 || 1708081109, 17.601732834399 , 78.126610351351, 0.01 , 0.01 ,29.83 , 9.57 , 0.91 , -0.52 , 359.13
2024-02-16 16:28:29,927 :- 00019: 254 , 29.30 , 00.20 || 1708081109, 17.601732834399 , 78.126610351351, 0.01 , 0.01 ,30.06 , 10.03 , 0.89 , -0.52 , 359.12
