2024-02-16 12:32:30,550 :- 00001: Feedback Code Starting
2024-02-16 12:32:30,577 :- 00002: 050 , 30.00 , -0.10 || 1708066950, 17.601633327108 , 78.126609638106, 0.01 , 0.01 ,25.74 , 9.82 , 1.25 , -0.17 , 359.65
2024-02-16 12:32:30,607 :- 00003: 053 , 30.00 , 00.00 || 1708066950, 17.601639829951 , 78.126609637762, 0.00 , 0.01 ,26.02 , 9.77 , 1.25 , -0.19 , 359.65
2024-02-16 12:32:30,637 :- 00004: 056 , 30.00 , 00.00 || 1708066950, 17.601639829951 , 78.126609637762, 0.00 , 0.01 ,26.02 , 9.59 , 1.24 , -0.20 , 359.65
2024-02-16 12:32:30,667 :- 00005: 059 , 30.00 , 00.00 || 1708066950, 17.601639829951 , 78.126609637762, 0.00 , 0.01 ,26.02 , 10.00 , 1.26 , -0.21 , 359.66
2024-02-16 12:32:30,697 :- 00006: 062 , 30.00 , 00.00 || 1708066950, 17.601639829951 , 78.126609637762, 0.00 , 0.01 ,26.23 , 10.04 , 1.25 , -0.22 , 359.66
2024-02-16 12:32:30,727 :- 00007: 065 , 30.00 , 00.00 || 1708066950, 17.601646396741 , 78.126609581879, 0.00 , 0.01 ,26.23 , 9.97 , 1.25 , -0.22 , 359.67
2024-02-16 12:32:30,757 :- 00008: 068 , 30.00 , 00.00 || 1708066950, 17.601646396741 , 78.126609581879, 0.00 , 0.01 ,26.23 , 9.86 , 1.26 , -0.24 , 359.67
2024-02-16 12:32:30,787 :- 00009: 071 , 30.00 , 00.00 || 1708066950, 17.601646396741 , 78.126609581879, 0.00 , 0.01 ,26.47 , 10.19 , 1.28 , -0.21 , 359.67
2024-02-16 12:32:30,817 :- 00010: 074 , 30.00 , 00.00 || 1708066950, 17.601653020167 , 78.126609515623, 0.00 , 0.01 ,26.47 , 9.97 , 1.25 , -0.23 , 359.66
2024-02-16 12:32:30,847 :- 00011: 077 , 30.00 , 00.00 || 1708066950, 17.601653020167 , 78.126609515623, 0.00 , 0.01 ,26.47 , 10.15 , 1.24 , -0.19 , 359.65
