2024-02-16 12:33:54,550 :- 00001: Feedback Code Starting
2024-02-16 12:33:54,575 :- 00002: 002 , 24.80 , -0.10 || 1708067034, 17.601639401589 , 78.126608610565, 0.01 , 0.01 ,25.24 , 9.84 , 1.34 , -0.14 , 359.76
2024-02-16 12:33:54,605 :- 00003: 005 , 24.90 , -0.10 || 1708067034, 17.601645775939 , 78.126608574626, 0.01 , 0.01 ,25.37 , 9.97 , 1.33 , -0.17 , 359.76
2024-02-16 12:33:54,635 :- 00004: 008 , 24.90 , -0.10 || 1708067034, 17.601645775939 , 78.126608574626, 0.01 , 0.01 ,25.37 , 10.18 , 1.33 , -0.18 , 359.76
2024-02-16 12:33:54,665 :- 00005: 011 , 25.00 , -0.10 || 1708067034, 17.601645775939 , 78.126608574626, 0.01 , 0.01 ,25.37 , 9.90 , 1.30 , -0.19 , 359.76
2024-02-16 12:33:54,695 :- 00006: 014 , 25.00 , -0.10 || 1708067034, 17.601645775939 , 78.126608574626, 0.01 , 0.01 ,25.65 , 10.17 , 1.31 , -0.19 , 359.76
2024-02-16 12:33:54,725 :- 00007: 017 , 25.00 , -0.10 || 1708067034, 17.601652201366 , 78.126608523250, 0.01 , 0.01 ,25.65 , 10.20 , 1.26 , -0.20 , 359.76
2024-02-16 12:33:54,754 :- 00008: 020 , 25.10 , -0.10 || 1708067034, 17.601652201366 , 78.126608523250, 0.01 , 0.01 ,25.65 , 9.90 , 1.25 , -0.19 , 359.76
2024-02-16 12:33:54,784 :- 00009: 023 , 25.20 , -0.10 || 1708067034, 17.601652201366 , 78.126608523250, 0.01 , 0.01 ,25.65 , 9.98 , 1.23 , -0.16 , 359.75
2024-02-16 12:33:54,814 :- 00010: 026 , 25.20 , -0.10 || 1708067034, 17.601658684530 , 78.126608456810, 0.01 , 0.01 ,25.92 , 9.82 , 1.21 , -0.14 , 359.76
2024-02-16 12:33:54,844 :- 00011: 029 , 25.30 , -0.10 || 1708067034, 17.601658684530 , 78.126608456810, 0.01 , 0.01 ,25.92 , 9.67 , 1.21 , -0.10 , 359.75
2024-02-16 12:33:54,874 :- 00012: 032 , 25.30 , -0.10 || 1708067034, 17.601658684530 , 78.126608456810, 0.01 , 0.01 ,25.92 , 9.93 , 1.21 , -0.09 , 359.75
2024-02-16 12:33:54,905 :- 00013: 035 , 25.40 , -0.10 || 1708067034, 17.601665227150 , 78.126608398074, 0.01 , 0.01 ,26.10 , 9.45 , 1.18 , -0.05 , 359.75
2024-02-16 12:33:54,935 :- 00014: 038 , 25.40 , -0.10 || 1708067034, 17.601665227150 , 78.126608398074, 0.01 , 0.01 ,26.10 , 9.80 , 1.19 , -0.03 , 359.75
2024-02-16 12:33:54,964 :- 00015: 041 , 25.50 , -0.10 || 1708067034, 17.601665227150 , 78.126608398074, 0.01 , 0.01 ,26.10 , 9.70 , 1.18 , 0.01 , 359.74
2024-02-16 12:33:54,995 :- 00016: 044 , 25.50 , -0.10 || 1708067034, 17.601665227150 , 78.126608398074, 0.01 , 0.01 ,26.10 , 9.78 , 1.18 , 0.02 , 359.74
