2024-02-24 11:25:25,274 :- 00001: Feedback Code Starting
2024-02-24 11:25:25,298 :- 00002: 070 , 30.00 , -0.20 || 1708754125, 17.601710839857 , 78.126609100793, 0.01 , 0.01 ,28.01 , 9.82 , 1.21 , 0.11 , 358.82
2024-02-24 11:25:25,328 :- 00003: 073 , 30.00 , -0.20 || 1708754125, 17.601710839857 , 78.126609100793, 0.01 , 0.01 ,28.17 , 10.13 , 1.19 , 0.13 , 358.82
2024-02-24 11:25:25,358 :- 00004: 076 , 30.00 , -0.20 || 1708754125, 17.601717896237 , 78.126608986915, 0.01 , 0.01 ,28.17 , 9.52 , 1.19 , 0.16 , 358.83
2024-02-24 11:25:25,388 :- 00005: 079 , 30.00 , -0.20 || 1708754125, 17.601717896237 , 78.126608986915, 0.01 , 0.01 ,28.17 , 9.92 , 1.19 , 0.17 , 358.83
2024-02-24 11:25:25,418 :- 00006: 082 , 30.00 , -0.20 || 1708754125, 17.601717896237 , 78.126608986915, 0.01 , 0.01 ,28.17 , 9.74 , 1.16 , 0.20 , 358.83
2024-02-24 11:25:25,448 :- 00007: 085 , 30.00 , -0.20 || 1708754125, 17.601725007139 , 78.126608871586, 0.01 , 0.01 ,28.37 , 9.55 , 1.13 , 0.22 , 358.84
2024-02-24 11:25:25,478 :- 00008: 088 , 30.00 , -0.20 || 1708754125, 17.601725007139 , 78.126608871586, 0.01 , 0.01 ,28.37 , 9.77 , 1.12 , 0.27 , 358.85
2024-02-24 11:25:25,508 :- 00009: 091 , 30.00 , -0.20 || 1708754125, 17.601725007139 , 78.126608871586, 0.01 , 0.01 ,28.37 , 9.87 , 1.13 , 0.28 , 358.85
2024-02-24 11:25:25,538 :- 00010: 094 , 30.00 , -0.20 || 1708754125, 17.601732151640 , 78.126608755740, 0.01 , 0.01 ,28.51 , 9.23 , 1.11 , 0.30 , 358.87
2024-02-24 11:25:25,568 :- 00011: 097 , 30.00 , -0.20 || 1708754125, 17.601732151640 , 78.126608755740, 0.01 , 0.01 ,28.51 , 9.54 , 1.13 , 0.28 , 358.88
2024-02-24 11:25:25,598 :- 00012: 100 , 30.00 , -0.70 || 1708754125, 17.601732151640 , 78.126608755740, 0.01 , 0.01 ,28.51 , 9.43 , 1.10 , 0.29 , 358.89
2024-02-24 11:25:25,628 :- 00013: 103 , 30.00 , -0.70 || 1708754125, 17.601732151640 , 78.126608755740, 0.00 , 0.01 ,28.57 , 10.03 , 1.09 , 0.28 , 358.89
2024-02-24 11:25:25,658 :- 00014: 106 , 30.00 , -0.70 || 1708754125, 17.601739367171 , 78.126608709727, 0.00 , 0.01 ,28.57 , 9.69 , 1.03 , 0.25 , 358.90
2024-02-24 11:25:25,687 :- 00015: 106 , 30.00 , -0.70 || 1708754125, 17.601739367171 , 78.126608709727, 0.00 , 0.01 ,28.57 , 9.69 , 1.03 , 0.25 , 358.901708754125, 17.601739367171 , 78.126608709727, 0.00 , 0.01 ,28.57 , 9.76 , 0.99 , 0.26 , 358.91
2024-02-24 11:25:25,708 :- 00016: 111 , 30.00 , -0.70 || 1708754125, 17.601739367171 , 78.126608709727, 0.00 , 0.01 ,28.57 , 9.52 , 0.97 , 0.25 , 358.92
2024-02-24 11:25:25,738 :- 00017: 114 , 30.00 , -0.70 || 1708754125, 17.601746553279 , 78.126608582741, 0.00 , 0.01 ,28.71 , 9.94 , 0.93 , 0.21 , 358.94
2024-02-24 11:25:25,768 :- 00018: 117 , 30.00 , -0.70 || 1708754125, 17.601746553279 , 78.126608582741, 0.00 , 0.01 ,28.71 , 9.66 , 0.90 , 0.21 , 358.96
2024-02-24 11:25:25,798 :- 00019: 120 , 30.00 , -0.20 || 1708754125, 17.601746553279 , 78.126608582741, 0.00 , 0.01 ,28.71 , 10.05 , 0.89 , 0.18 , 359.01
2024-02-24 11:25:25,828 :- 00020: 123 , 30.00 , -0.20 || 1708754125, 17.601746553279 , 78.126608582741, 0.00 , 0.01 ,28.78 , 9.94 , 0.85 , 0.16 , 359.04
2024-02-24 11:25:25,858 :- 00021: 126 , 30.00 , -0.20 || 1708754125, 17.601753773381 , 78.126608459696, 0.00 , 0.01 ,28.78 , 10.06 , 0.79 , 0.14 , 359.12
2024-02-24 11:25:25,888 :- 00022: 129 , 30.00 , -0.20 || 1708754125, 17.601753773381 , 78.126608459696, 0.00 , 0.01 ,28.78 , 9.71 , 0.79 , 0.12 , 359.16
2024-02-24 11:25:25,918 :- 00023: 132 , 30.00 , -0.20 || 1708754125, 17.601753773381 , 78.126608459696, 0.00 , 0.01 ,28.78 , 10.28 , 0.81 , 0.13 , 359.25
2024-02-24 11:25:25,948 :- 00024: 135 , 30.00 , -0.20 || 1708754125, 17.601761040835 , 78.126608375294, 0.00 , 0.01 ,29.01 , 9.94 , 0.82 , 0.12 , 359.28
2024-02-24 11:25:25,978 :- 00025: 138 , 30.00 , -0.20 || 1708754125, 17.601761040835 , 78.126608375294, 0.00 , 0.01 ,29.01 , 10.14 , 0.90 , 0.12 , 359.34
2024-02-24 11:25:26,008 :- 00026: 141 , 30.00 , -0.20 || 1708754125, 17.601761040835 , 78.126608375294, 0.00 , 0.01 ,29.01 , 9.88 , 0.94 , 0.13 , 359.35
2024-02-24 11:25:26,038 :- 00027: 144 , 30.00 , -0.20 || 1708754126, 17.601761040835 , 78.126608375294, 0.00 , 0.01 ,29.01 , 9.79 , 1.06 , 0.15 , 359.35
2024-02-24 11:25:26,068 :- 00028: 147 , 30.00 , -0.20 || 1708754126, 17.601768359597 , 78.126608356404, 0.00 , 0.01 ,29.19 , 9.96 , 1.10 , 0.15 , 359.34
2024-02-24 11:25:26,098 :- 00029: 150 , 30.00 , -0.20 || 1708754126, 17.601768359597 , 78.126608356404, 0.00 , 0.01 ,29.19 , 9.83 , 1.17 , 0.20 , 359.30
2024-02-24 11:25:26,128 :- 00030: 153 , 30.00 , -0.20 || 1708754126, 17.601768359597 , 78.126608356404, 0.00 , 0.01 ,29.35 , 9.81 , 1.20 , 0.22 , 359.28
2024-02-24 11:25:26,158 :- 00031: 156 , 30.00 , -0.20 || 1708754126, 17.601775732619 , 78.126608394861, 0.00 , 0.01 ,29.35 , 10.11 , 1.30 , 0.19 , 359.27
2024-02-24 11:25:26,188 :- 00032: 159 , 30.00 , -0.00 || 1708754126, 17.601775732619 , 78.126608394861, 0.00 , 0.01 ,29.35 , 9.49 , 1.34 , 0.23 , 359.27
2024-02-24 11:25:26,218 :- 00033: 162 , 30.00 , -0.00 || 1708754126, 17.601775732619 , 78.126608394861, 0.00 , 0.01 ,29.35 , 9.23 , 1.38 , 0.23 , 359.27
2024-02-24 11:25:26,248 :- 00034: 165 , 30.00 , -0.00 || 1708754126, 17.601783140590 , 78.126608393550, 0.01 , 0.01 ,29.53 , 9.73 , 1.42 , 0.23 , 359.27
2024-02-24 11:25:26,278 :- 00035: 168 , 30.00 , -0.00 || 1708754126, 17.601783140590 , 78.126608393550, 0.01 , 0.01 ,29.53 , 9.84 , 1.49 , 0.23 , 359.28
2024-02-24 11:25:26,308 :- 00036: 171 , 30.00 , 00.00 || 1708754126, 17.601783140590 , 78.126608393550, 0.01 , 0.01 ,29.53 , 9.42 , 1.53 , 0.20 , 359.29
2024-02-24 11:25:26,338 :- 00037: 174 , 30.00 , 00.00 || 1708754126, 17.601790567758 , 78.126608391404, 0.01 , 0.01 ,29.63 , 9.69 , 1.54 , 0.18 , 359.30
2024-02-24 11:25:26,368 :- 00038: 177 , 30.00 , 00.00 || 1708754126, 17.601790567758 , 78.126608391404, 0.01 , 0.01 ,29.63 , 9.63 , 1.53 , 0.20 , 359.30
2024-02-24 11:25:26,398 :- 00039: 180 , 30.00 , 00.10 || 1708754126, 17.601790567758 , 78.126608391404, 0.01 , 0.01 ,29.63 , 9.95 , 1.51 , 0.10 , 359.31
2024-02-24 11:25:26,428 :- 00040: 183 , 30.00 , 00.10 || 1708754126, 17.601790567758 , 78.126608391404, 0.01 , 0.01 ,29.73 , 10.28 , 1.57 , 0.12 , 359.31
2024-02-24 11:25:26,458 :- 00041: 186 , 30.00 , 00.10 || 1708754126, 17.601798027747 , 78.126608339141, 0.01 , 0.01 ,29.73 , 9.77 , 1.59 , 0.12 , 359.31
2024-02-24 11:25:26,488 :- 00042: 189 , 30.00 , 00.10 || 1708754126, 17.601798027747 , 78.126608339141, 0.01 , 0.01 ,29.73 , 10.30 , 1.57 , 0.08 , 359.31
2024-02-24 11:25:26,518 :- 00043: 192 , 30.00 , 00.10 || 1708754126, 17.601798027747 , 78.126608339141, 0.01 , 0.01 ,29.73 , 9.61 , 1.54 , 0.12 , 359.30
2024-02-24 11:25:26,548 :- 00044: 195 , 30.00 , 00.10 || 1708754126, 17.601805536063 , 78.126608315898, 0.01 , 0.01 ,29.95 , 10.22 , 1.53 , 0.13 , 359.29
2024-02-24 11:25:26,578 :- 00045: 198 , 30.00 , 00.10 || 1708754126, 17.601805536063 , 78.126608315898, 0.01 , 0.01 ,29.95 , 10.12 , 1.47 , 0.07 , 359.27
2024-02-24 11:25:26,608 :- 00046: 201 , 30.00 , 00.10 || 1708754126, 17.601805536063 , 78.126608315898, 0.01 , 0.01 ,29.95 , 9.92 , 1.47 , 0.11 , 359.25
2024-02-24 11:25:26,638 :- 00047: 204 , 30.00 , 00.10 || 1708754126, 17.601813079022 , 78.126608232697, 0.01 , 0.01 ,30.11 , 9.86 , 1.44 , 0.12 , 359.22
2024-02-24 11:25:26,668 :- 00048: 207 , 30.00 , 00.10 || 1708754126, 17.601813079022 , 78.126608232697, 0.01 , 0.01 ,30.11 , 10.16 , 1.46 , 0.11 , 359.21
2024-02-24 11:25:26,698 :- 00049: 210 , 30.00 , 00.20 || 1708754126, 17.601813079022 , 78.126608232697, 0.01 , 0.01 ,30.11 , 9.09 , 1.44 , 0.19 , 359.18
2024-02-24 11:25:26,728 :- 00050: 213 , 30.00 , 00.20 || 1708754126, 17.601813079022 , 78.126608232697, 0.01 , 0.01 ,30.26 , 9.04 , 1.45 , 0.18 , 359.16
2024-02-24 11:25:26,758 :- 00051: 216 , 30.00 , 00.20 || 1708754126, 17.601820659485 , 78.126608180315, 0.01 , 0.01 ,30.26 , 10.83 , 1.48 , 0.22 , 359.13
2024-02-24 11:25:26,788 :- 00052: 219 , 30.00 , 00.20 || 1708754126, 17.601820659485 , 78.126608180315, 0.01 , 0.01 ,30.26 , 9.76 , 1.44 , 0.27 , 359.11
2024-02-24 11:25:26,818 :- 00053: 222 , 30.00 , 00.20 || 1708754126, 17.601820659485 , 78.126608180315, 0.01 , 0.01 ,30.26 , 10.10 , 1.44 , 0.31 , 359.09
2024-02-24 11:25:26,848 :- 00054: 225 , 30.00 , 00.20 || 1708754126, 17.601828289927 , 78.126608107226, 0.01 , 0.01 ,30.54 , 10.19 , 1.43 , 0.38 , 359.08
2024-02-24 11:25:26,878 :- 00055: 228 , 30.00 , 00.20 || 1708754126, 17.601828289927 , 78.126608107226, 0.01 , 0.01 ,30.54 , 8.62 , 1.50 , 0.47 , 359.08
2024-02-24 11:25:26,908 :- 00056: 231 , 30.00 , 00.20 || 1708754126, 17.601828289927 , 78.126608107226, 0.01 , 0.01 ,30.54 , 9.89 , 1.54 , 0.49 , 359.07
2024-02-24 11:25:26,938 :- 00057: 234 , 30.00 , 00.20 || 1708754126, 17.601835983928 , 78.126608072365, 0.01 , 0.01 ,30.69 , 9.13 , 1.68 , 0.52 , 359.06
2024-02-24 11:25:26,967 :- 00058: 234 , 30.00 , 00.20 || 1708754126, 17.601835983928 , 78.126608072365, 0.01 , 0.01 ,30.69 , 9.13 , 1.68 , 0.52 , 359.061708754126, 17.601835983928 , 78.126608072365, 0.01 , 0.01 ,30.69 , 9.94 , 1.72 , 0.51 , 359.04
2024-02-24 11:25:26,988 :- 00059: 239 , 30.00 , 00.20 || 1708754126, 17.601835983928 , 78.126608072365, 0.01 , 0.01 ,30.69 , 8.92 , 1.73 , 0.52 , 359.03
2024-02-24 11:25:27,018 :- 00060: 242 , 30.00 , 00.20 || 1708754127, 17.601835983928 , 78.126608072365, 0.01 , 0.01 ,30.69 , 9.49 , 1.79 , 0.48 , 359.00
2024-02-24 11:25:27,048 :- 00061: 245 , 30.00 , 00.20 || 1708754127, 17.601835983928 , 78.126608072365, 0.01 , 0.01 ,30.55 , 9.47 , 1.78 , 0.48 , 358.98
2024-02-24 11:25:27,078 :- 00062: 248 , 30.00 , 00.20 || 1708754127, 17.601843657700 , 78.126608063197, 0.01 , 0.01 ,30.55 , 8.51 , 1.74 , 0.44 , 358.95
2024-02-24 11:25:27,108 :- 00063: 251 , 30.00 , 00.90 || 1708754127, 17.601843657700 , 78.126608063197, 0.01 , 0.01 ,30.55 , 10.66 , 1.75 , 0.44 , 358.94
2024-02-24 11:25:27,138 :- 00064: 254 , 30.00 , 00.90 || 1708754127, 17.601851344568 , 78.126607956763, 0.01 , 0.01 ,30.71 , 9.04 , 1.76 , 0.40 , 358.91
2024-02-24 11:25:27,168 :- 00065: 001 , 30.00 , 00.90 || 1708754127, 17.601851344568 , 78.126607956763, 0.01 , 0.01 ,30.71 , 9.99 , 1.77 , 0.36 , 358.89
2024-02-24 11:25:27,198 :- 00066: 004 , 30.00 , 00.50 || 1708754127, 17.601851344568 , 78.126607956763, 0.01 , 0.01 ,30.71 , 11.24 , 1.87 , 0.41 , 358.85
2024-02-24 11:25:27,228 :- 00067: 007 , 30.00 , 00.20 || 1708754127, 17.601851344568 , 78.126607956763, 0.01 , 0.01 ,30.78 , 10.50 , 1.89 , 0.39 , 358.82
