2024-02-24 11:19:07,955 :- 00001: Feedback Code Starting
2024-02-24 11:19:07,976 :- 00002: 225 , 26.60 , -0.10 || 1708753747, 17.601691243971 , 78.126606859345, 0.01 , 0.01 ,27.19 , 10.18 , 1.22 , -0.08 , 359.73
2024-02-24 11:19:08,006 :- 00003: 228 , 26.80 , -0.10 || 1708753747, 17.601691243971 , 78.126606859345, 0.01 , 0.01 ,27.19 , 9.50 , 1.21 , -0.09 , 359.72
2024-02-24 11:19:08,036 :- 00004: 231 , 26.90 , -0.10 || 1708753748, 17.601698132480 , 78.126606831582, 0.01 , 0.01 ,27.50 , 10.15 , 1.23 , -0.15 , 359.71
2024-02-24 11:19:08,066 :- 00005: 234 , 27.00 , -0.10 || 1708753748, 17.601698132480 , 78.126606831582, 0.01 , 0.01 ,27.50 , 10.27 , 1.23 , -0.14 , 359.70
2024-02-24 11:19:08,096 :- 00006: 234 , 27.00 , -0.10 || 1708753748, 17.601698132480 , 78.126606831582, 0.01 , 0.01 ,27.50 , 10.27 , 1.23 , -0.14 , 359.701708753748, 17.601698132480 , 78.126606831582, 0.01 , 0.01 ,27.50 , 9.88 , 1.23 , -0.18 , 359.69
2024-02-24 11:19:08,116 :- 00007: 239 , 27.20 , -0.10 || 1708753748, 17.601698132480 , 78.126606831582, 0.01 , 0.01 ,27.50 , 9.69 , 1.24 , -0.18 , 359.69
2024-02-24 11:19:08,146 :- 00008: 242 , 27.40 , -0.10 || 1708753748, 17.601705153686 , 78.126606844646, 0.01 , 0.01 ,28.08 , 9.77 , 1.26 , -0.20 , 359.69
2024-02-24 11:19:08,176 :- 00009: 245 , 27.50 , -0.10 || 1708753748, 17.601705153686 , 78.126606844646, 0.01 , 0.01 ,28.08 , 10.59 , 1.30 , -0.21 , 359.68
2024-02-24 11:19:08,206 :- 00010: 248 , 27.60 , -0.00 || 1708753748, 17.601705153686 , 78.126606844646, 0.01 , 0.01 ,28.08 , 9.46 , 1.30 , -0.19 , 359.68
2024-02-24 11:19:08,236 :- 00011: 251 , 27.70 , -0.00 || 1708753748, 17.601712288551 , 78.126606846658, 0.01 , 0.01 ,28.54 , 10.27 , 1.26 , -0.20 , 359.66
2024-02-24 11:19:08,266 :- 00012: 254 , 27.90 , -0.00 || 1708753748, 17.601712288551 , 78.126606846658, 0.01 , 0.01 ,28.54 , 10.00 , 1.27 , -0.15 , 359.65
2024-02-24 11:19:08,296 :- 00013: 001 , 28.00 , -0.00 || 1708753748, 17.601712288551 , 78.126606846658, 0.01 , 0.01 ,28.54 , 10.10 , 1.24 , -0.15 , 359.64
2024-02-24 11:19:08,326 :- 00014: 004 , 28.10 , -0.00 || 1708753748, 17.601712288551 , 78.126606846658, 0.01 , 0.01 ,29.10 , 9.78 , 1.25 , -0.11 , 359.64
2024-02-24 11:19:08,356 :- 00015: 007 , 28.20 , -0.00 || 1708753748, 17.601719549345 , 78.126606825293, 0.01 , 0.01 ,29.10 , 10.00 , 1.27 , -0.08 , 359.62
2024-02-24 11:19:08,386 :- 00016: 010 , 28.40 , -0.00 || 1708753748, 17.601719549345 , 78.126606825293, 0.01 , 0.01 ,29.10 , 9.41 , 1.27 , -0.07 , 359.62
2024-02-24 11:19:08,416 :- 00017: 013 , 28.50 , -0.00 || 1708753748, 17.601719549345 , 78.126606825293, 0.01 , 0.01 ,29.10 , 9.59 , 1.25 , -0.05 , 359.60
2024-02-24 11:19:08,446 :- 00018: 016 , 28.60 , -0.00 || 1708753748, 17.601726935656 , 78.126606789434, 0.01 , 0.01 ,29.47 , 9.61 , 1.26 , -0.04 , 359.60
2024-02-24 11:19:08,476 :- 00019: 019 , 28.80 , -0.00 || 1708753748, 17.601726935656 , 78.126606789434, 0.01 , 0.01 ,29.47 , 10.03 , 1.23 , -0.00 , 359.58
2024-02-24 11:19:08,506 :- 00020: 022 , 28.90 , -0.00 || 1708753748, 17.601726935656 , 78.126606789434, 0.01 , 0.01 ,29.47 , 9.26 , 1.22 , -0.02 , 359.57
2024-02-24 11:19:08,536 :- 00021: 025 , 29.10 , -0.00 || 1708753748, 17.601734422159 , 78.126606753697, 0.01 , 0.01 ,29.95 , 9.48 , 1.22 , -0.00 , 359.56
2024-02-24 11:19:08,566 :- 00022: 028 , 29.20 , -0.00 || 1708753748, 17.601734422159 , 78.126606753697, 0.01 , 0.01 ,29.95 , 9.61 , 1.20 , 0.01 , 359.55
2024-02-24 11:19:08,596 :- 00023: 031 , 29.30 , 00.00 || 1708753748, 17.601734422159 , 78.126606753697, 0.01 , 0.01 ,29.95 , 9.73 , 1.21 , -0.04 , 359.54
2024-02-24 11:19:08,626 :- 00024: 034 , 29.40 , 00.00 || 1708753748, 17.601734422159 , 78.126606753697, 0.01 , 0.01 ,30.34 , 10.02 , 1.19 , -0.04 , 359.53
2024-02-24 11:19:08,656 :- 00025: 037 , 29.60 , 00.00 || 1708753748, 17.601742004261 , 78.126606717665, 0.01 , 0.01 ,30.34 , 9.54 , 1.15 , -0.07 , 359.51
2024-02-24 11:19:08,686 :- 00026: 040 , 29.70 , 00.00 || 1708753748, 17.601742004261 , 78.126606717665, 0.01 , 0.01 ,30.34 , 9.97 , 1.14 , -0.08 , 359.49
2024-02-24 11:19:08,716 :- 00027: 043 , 29.90 , 00.00 || 1708753748, 17.601742004261 , 78.126606717665, 0.01 , 0.01 ,30.34 , 9.81 , 1.09 , -0.10 , 359.47
2024-02-24 11:19:08,746 :- 00028: 046 , 30.00 , 00.00 || 1708753748, 17.601749692782 , 78.126606638349, 0.01 , 0.01 ,30.74 , 10.08 , 1.08 , -0.12 , 359.47
2024-02-24 11:19:08,776 :- 00029: 049 , 30.10 , 00.00 || 1708753748, 17.601749692782 , 78.126606638349, 0.01 , 0.01 ,30.74 , 9.92 , 1.09 , -0.13 , 359.46
2024-02-24 11:19:08,806 :- 00030: 052 , 30.20 , 00.00 || 1708753748, 17.601749692782 , 78.126606638349, 0.01 , 0.01 ,30.74 , 10.12 , 1.09 , -0.15 , 359.45
2024-02-24 11:19:08,836 :- 00031: 055 , 30.40 , 00.00 || 1708753748, 17.601757496145 , 78.126606579730, 0.01 , 0.01 ,31.21 , 9.73 , 1.13 , -0.16 , 359.44
