2024-02-24 12:33:20,617 :- 00001: Feedback Code Starting
2024-02-24 12:33:20,647 :- 00002: 186 , 30.00 , -0.20 || 1708758200, 17.601738874366 , 78.126609039860, 0.01 , 0.01 ,32.20 , 9.84 , 1.28 , 0.05 , 358.55
2024-02-24 12:33:20,677 :- 00003: 189 , 30.00 , -0.20 || 1708758200, 17.601738874366 , 78.126609039860, 0.01 , 0.01 ,32.20 , 9.64 , 1.23 , 0.05 , 358.55
2024-02-24 12:33:20,707 :- 00004: 192 , 30.00 , -0.20 || 1708758200, 17.601738874366 , 78.126609039860, 0.01 , 0.01 ,32.20 , 9.42 , 1.18 , 0.02 , 358.56
2024-02-24 12:33:20,737 :- 00005: 195 , 30.00 , -0.20 || 1708758200, 17.601746996131 , 78.126608908336, 0.01 , 0.01 ,32.46 , 9.62 , 1.15 , -0.03 , 358.56
2024-02-24 12:33:20,767 :- 00006: 198 , 30.00 , -0.20 || 1708758200, 17.601746996131 , 78.126608908336, 0.01 , 0.01 ,32.46 , 10.00 , 1.14 , -0.05 , 358.57
2024-02-24 12:33:20,797 :- 00007: 201 , 30.00 , -0.20 || 1708758200, 17.601746996131 , 78.126608908336, 0.01 , 0.01 ,32.46 , 9.73 , 1.14 , -0.07 , 358.57
2024-02-24 12:33:20,826 :- 00008: 201 , 30.00 , -0.20 || 1708758200, 17.601746996131 , 78.126608908336, 0.01 , 0.01 ,32.46 , 9.73 , 1.14 , -0.07 , 358.571708758200, 17.601746996131 , 78.126608908336, 0.01 , 0.01 ,32.46 , 10.37 , 1.13 , -0.11 , 358.57
2024-02-24 12:33:20,857 :- 00009: 207 , 30.00 , -0.20 || 1708758200, 17.601755169302 , 78.126608758068, 0.01 , 0.01 ,32.67 , 9.80 , 1.12 , -0.13 , 358.58
2024-02-24 12:33:20,887 :- 00010: 210 , 30.00 , -0.20 || 1708758200, 17.601755169302 , 78.126608758068, 0.01 , 0.01 ,32.67 , 10.29 , 1.14 , -0.17 , 358.59
2024-02-24 12:33:20,917 :- 00011: 213 , 30.00 , -0.20 || 1708758200, 17.601755169302 , 78.126608758068, 0.01 , 0.01 ,32.67 , 10.20 , 1.14 , -0.17 , 358.59
2024-02-24 12:33:20,947 :- 00012: 216 , 30.00 , -0.20 || 1708758200, 17.601763442172 , 78.126608649536, 0.01 , 0.01 ,33.13 , 10.23 , 1.16 , -0.17 , 358.60
2024-02-24 12:33:20,977 :- 00013: 219 , 30.00 , -0.20 || 1708758200, 17.601763442172 , 78.126608649536, 0.01 , 0.01 ,33.13 , 9.95 , 1.16 , -0.17 , 358.61
2024-02-24 12:33:21,007 :- 00014: 222 , 30.00 , -0.20 || 1708758200, 17.601763442172 , 78.126608649536, 0.01 , 0.01 ,33.13 , 9.98 , 1.19 , -0.12 , 358.62
2024-02-24 12:33:21,037 :- 00015: 225 , 30.00 , -0.20 || 1708758201, 17.601763442172 , 78.126608649536, 0.01 , 0.01 ,33.48 , 10.06 , 1.21 , -0.11 , 358.63
2024-02-24 12:33:21,067 :- 00016: 228 , 30.00 , -0.20 || 1708758201, 17.601771814442 , 78.126608555916, 0.01 , 0.01 ,33.48 , 9.91 , 1.24 , -0.08 , 358.64
2024-02-24 12:33:21,097 :- 00017: 231 , 30.00 , -0.20 || 1708758201, 17.601771814442 , 78.126608555916, 0.01 , 0.01 ,33.48 , 10.14 , 1.28 , -0.04 , 358.66
2024-02-24 12:33:21,127 :- 00018: 234 , 30.00 , -0.20 || 1708758201, 17.601771814442 , 78.126608555916, 0.01 , 0.01 ,33.73 , 9.70 , 1.36 , -0.02 , 358.67
2024-02-24 12:33:21,157 :- 00019: 237 , 30.00 , -0.20 || 1708758201, 17.601780259533 , 78.126608503905, 0.01 , 0.01 ,33.73 , 8.97 , 1.37 , 0.00 , 358.68
2024-02-24 12:33:21,187 :- 00020: 240 , 30.00 , -0.20 || 1708758201, 17.601780259533 , 78.126608503905, 0.01 , 0.01 ,33.73 , 9.58 , 1.42 , 0.03 , 358.69
2024-02-24 12:33:21,217 :- 00021: 243 , 30.00 , -0.10 || 1708758201, 17.601780259533 , 78.126608503905, 0.01 , 0.01 ,33.73 , 9.62 , 1.45 , 0.02 , 358.69
2024-02-24 12:33:21,247 :- 00022: 246 , 30.00 , -0.10 || 1708758201, 17.601788758042 , 78.126608437968, 0.01 , 0.01 ,33.95 , 9.55 , 1.52 , 0.02 , 358.70
2024-02-24 12:33:21,277 :- 00023: 249 , 30.00 , -0.10 || 1708758201, 17.601788758042 , 78.126608437968, 0.01 , 0.01 ,33.95 , 9.36 , 1.54 , -0.01 , 358.71
2024-02-24 12:33:21,307 :- 00024: 252 , 30.00 , -0.10 || 1708758201, 17.601788758042 , 78.126608437968, 0.01 , 0.01 ,33.95 , 9.54 , 1.59 , -0.05 , 358.73
2024-02-24 12:33:21,337 :- 00025: 255 , 30.00 , -0.10 || 1708758201, 17.601788758042 , 78.126608437968, 0.01 , 0.01 ,33.95 , 10.36 , 1.64 , -0.09 , 358.73
2024-02-24 12:33:21,367 :- 00026: 002 , 30.00 , -0.10 || 1708758201, 17.601797294375 , 78.126608421441, 0.01 , 0.01 ,34.07 , 9.25 , 1.69 , -0.09 , 358.75
2024-02-24 12:33:21,397 :- 00027: 005 , 30.00 , -0.10 || 1708758201, 17.601797294375 , 78.126608421441, 0.01 , 0.01 ,34.07 , 10.87 , 1.72 , -0.13 , 358.75
2024-02-24 12:33:21,427 :- 00028: 008 , 30.00 , 00.00 || 1708758201, 17.601797294375 , 78.126608421441, 0.01 , 0.01 ,34.07 , 9.14 , 1.69 , -0.16 , 358.77
2024-02-24 12:33:21,456 :- 00029: 011 , 30.00 , 00.00 || 1708758201, 17.601805901942 , 78.126608363402, 0.01 , 0.01 ,34.39 , 10.86 , 1.69 , -0.14 , 358.78
2024-02-24 12:33:21,487 :- 00030: 014 , 30.00 , 00.00 || 1708758201, 17.601805901942 , 78.126608363402, 0.01 , 0.01 ,34.39 , 9.82 , 1.62 , -0.21 , 358.79
2024-02-24 12:33:21,517 :- 00031: 017 , 30.00 , 00.00 || 1708758201, 17.601805901942 , 78.126608363402, 0.01 , 0.01 ,34.39 , 10.01 , 1.63 , -0.20 , 358.80
2024-02-24 12:33:21,547 :- 00032: 020 , 30.00 , 00.00 || 1708758201, 17.601814577689 , 78.126608281738, 0.01 , 0.01 ,34.62 , 11.01 , 1.63 , -0.18 , 358.80
2024-02-24 12:33:21,577 :- 00033: 023 , 30.00 , 00.00 || 1708758201, 17.601814577689 , 78.126608281738, 0.01 , 0.01 ,34.62 , 8.49 , 1.62 , -0.19 , 358.80
2024-02-24 12:33:21,607 :- 00034: 026 , 30.00 , 00.10 || 1708758201, 17.601814577689 , 78.126608281738, 0.01 , 0.01 ,34.62 , 10.41 , 1.63 , -0.11 , 358.77
2024-02-24 12:33:21,637 :- 00035: 029 , 30.00 , 00.10 || 1708758201, 17.601814577689 , 78.126608281738, 0.01 , 0.01 ,35.17 , 10.21 , 1.66 , -0.11 , 358.76
2024-02-24 12:33:21,667 :- 00036: 032 , 30.00 , 00.10 || 1708758201, 17.601823374304 , 78.126608201564, 0.01 , 0.01 ,35.17 , 10.16 , 1.64 , -0.04 , 358.72
2024-02-24 12:33:21,697 :- 00037: 035 , 30.00 , 00.10 || 1708758201, 17.601823374304 , 78.126608201564, 0.01 , 0.01 ,35.17 , 10.86 , 1.63 , 0.09 , 358.69
