2024-02-24 12:26:24,545 :- 00001: Feedback Code Starting
2024-02-24 12:26:24,572 :- 00002: 049 , 24.30 , 00.00 || 1708757784, 17.601717655598 , 78.126605879151, 0.01 , 0.01 ,25.02 , 9.92 , 1.48 , 0.18 , 358.28
2024-02-24 12:26:24,602 :- 00003: 052 , 24.40 , 00.00 || 1708757784, 17.601717655598 , 78.126605879151, 0.01 , 0.01 ,25.02 , 9.82 , 1.46 , 0.22 , 358.28
2024-02-24 12:26:24,632 :- 00004: 055 , 24.40 , 00.00 || 1708757784, 17.601717655598 , 78.126605879151, 0.01 , 0.01 ,25.13 , 9.09 , 1.47 , 0.21 , 358.27
2024-02-24 12:26:24,662 :- 00005: 058 , 24.50 , -0.00 || 1708757784, 17.601723953287 , 78.126605750440, 0.01 , 0.01 ,25.13 , 9.64 , 1.48 , 0.25 , 358.26
2024-02-24 12:26:24,692 :- 00006: 061 , 24.50 , -0.00 || 1708757784, 17.601723953287 , 78.126605750440, 0.01 , 0.01 ,25.13 , 9.61 , 1.47 , 0.25 , 358.26
2024-02-24 12:26:24,722 :- 00007: 064 , 24.50 , -0.00 || 1708757784, 17.601723953287 , 78.126605750440, 0.01 , 0.01 ,25.13 , 9.75 , 1.44 , 0.26 , 358.26
2024-02-24 12:26:24,752 :- 00008: 067 , 24.60 , -0.00 || 1708757784, 17.601730263456 , 78.126605601340, 0.01 , 0.01 ,25.09 , 9.47 , 1.43 , 0.28 , 358.26
2024-02-24 12:26:24,782 :- 00009: 070 , 24.60 , -0.00 || 1708757784, 17.601730263456 , 78.126605601340, 0.01 , 0.01 ,25.09 , 9.80 , 1.43 , 0.25 , 358.26
2024-02-24 12:26:24,812 :- 00010: 073 , 24.70 , -0.00 || 1708757784, 17.601730263456 , 78.126605601340, 0.01 , 0.01 ,25.09 , 9.22 , 1.41 , 0.27 , 358.26
2024-02-24 12:26:24,841 :- 00011: 073 , 24.70 , -0.00 || 1708757784, 17.601730263456 , 78.126605601340, 0.01 , 0.01 ,25.09 , 9.22 , 1.41 , 0.27 , 358.261708757784, 17.601736643850 , 78.126605636389, 0.00 , 0.01 ,25.31 , 9.85 , 1.44 , 0.24 , 358.25
2024-02-24 12:26:24,862 :- 00012: 078 , 24.70 , -0.00 || 1708757784, 17.601736643850 , 78.126605636389, 0.00 , 0.01 ,25.31 , 10.06 , 1.43 , 0.25 , 358.25
2024-02-24 12:26:24,892 :- 00013: 081 , 24.70 , -0.00 || 1708757784, 17.601736643850 , 78.126605636389, 0.00 , 0.01 ,25.31 , 9.89 , 1.43 , 0.21 , 358.25
2024-02-24 12:26:24,922 :- 00014: 084 , 24.80 , -0.00 || 1708757784, 17.601736643850 , 78.126605636389, 0.00 , 0.01 ,25.31 , 9.99 , 1.41 , 0.23 , 358.25
2024-02-24 12:26:24,952 :- 00015: 087 , 24.80 , -0.00 || 1708757784, 17.601743005089 , 78.126605488383, 0.00 , 0.01 ,25.40 , 9.76 , 1.37 , 0.21 , 358.24
2024-02-24 12:26:24,982 :- 00016: 090 , 24.90 , -0.00 || 1708757784, 17.601743005089 , 78.126605488383, 0.00 , 0.01 ,25.40 , 9.78 , 1.37 , 0.19 , 358.25
2024-02-24 12:26:25,012 :- 00017: 093 , 24.90 , -0.00 || 1708757784, 17.601743005089 , 78.126605488383, 0.00 , 0.01 ,25.40 , 10.17 , 1.34 , 0.19 , 358.24
2024-02-24 12:26:25,042 :- 00018: 096 , 24.90 , -0.00 || 1708757785, 17.601749394996 , 78.126605343317, 0.00 , 0.01 ,25.50 , 9.38 , 1.32 , 0.15 , 358.25
2024-02-24 12:26:25,072 :- 00019: 099 , 25.00 , -0.00 || 1708757785, 17.601749394996 , 78.126605343317, 0.00 , 0.01 ,25.50 , 10.34 , 1.32 , 0.16 , 358.25
2024-02-24 12:26:25,102 :- 00020: 102 , 25.00 , -0.00 || 1708757785, 17.601749394996 , 78.126605343317, 0.00 , 0.01 ,25.50 , 9.86 , 1.33 , 0.13 , 358.25
2024-02-24 12:26:25,132 :- 00021: 105 , 25.10 , -0.00 || 1708757785, 17.601749394996 , 78.126605343317, 0.00 , 0.01 ,25.56 , 9.67 , 1.34 , 0.12 , 358.25
2024-02-24 12:26:25,162 :- 00022: 108 , 25.10 , -0.00 || 1708757785, 17.601755811974 , 78.126605198978, 0.00 , 0.01 ,25.56 , 9.68 , 1.40 , 0.09 , 358.26
2024-02-24 12:26:25,192 :- 00023: 111 , 25.10 , -0.00 || 1708757785, 17.601755811974 , 78.126605198978, 0.00 , 0.01 ,25.56 , 10.00 , 1.45 , 0.08 , 358.26
2024-02-24 12:26:25,221 :- 00024: 114 , 25.20 , -0.00 || 1708757785, 17.601755811974 , 78.126605198978, 0.00 , 0.01 ,25.56 , 9.90 , 1.47 , 0.11 , 358.25
2024-02-24 12:26:25,252 :- 00025: 117 , 25.20 , -0.00 || 1708757785, 17.601762263388 , 78.126605095282, 0.00 , 0.01 ,25.67 , 9.93 , 1.48 , 0.06 , 358.25
2024-02-24 12:26:25,282 :- 00026: 120 , 25.20 , -0.00 || 1708757785, 17.601762263388 , 78.126605095282, 0.00 , 0.01 ,25.67 , 9.82 , 1.49 , 0.09 , 358.26
2024-02-24 12:26:25,311 :- 00027: 123 , 25.20 , -0.10 || 1708757785, 17.601762263388 , 78.126605095282, 0.00 , 0.01 ,25.67 , 9.60 , 1.51 , 0.12 , 358.26
2024-02-24 12:26:25,342 :- 00028: 126 , 25.20 , -0.10 || 1708757785, 17.601762263388 , 78.126605095282, 0.00 , 0.01 ,25.67 , 10.05 , 1.51 , 0.09 , 358.26
2024-02-24 12:26:25,371 :- 00029: 129 , 25.30 , -0.10 || 1708757785, 17.601768759060 , 78.126604981447, 0.00 , 0.01 ,25.90 , 10.45 , 1.55 , 0.15 , 358.27
2024-02-24 12:26:25,401 :- 00030: 132 , 25.30 , -0.10 || 1708757785, 17.601768759060 , 78.126604981447, 0.00 , 0.01 ,25.90 , 9.54 , 1.54 , 0.15 , 358.27
2024-02-24 12:26:25,432 :- 00031: 135 , 25.30 , -0.10 || 1708757785, 17.601768759060 , 78.126604981447, 0.01 , 0.01 ,26.05 , 9.86 , 1.54 , 0.17 , 358.27
2024-02-24 12:26:25,462 :- 00032: 138 , 25.40 , -0.10 || 1708757785, 17.601775287761 , 78.126604845000, 0.01 , 0.01 ,26.05 , 9.94 , 1.63 , 0.18 , 358.27
2024-02-24 12:26:25,491 :- 00033: 141 , 25.40 , -0.10 || 1708757785, 17.601775287761 , 78.126604845000, 0.01 , 0.01 ,26.05 , 9.97 , 1.68 , 0.19 , 358.27
2024-02-24 12:26:25,521 :- 00034: 144 , 25.50 , -0.10 || 1708757785, 17.601775287761 , 78.126604845000, 0.01 , 0.01 ,26.05 , 8.50 , 1.70 , 0.17 , 358.27
2024-02-24 12:26:25,551 :- 00035: 147 , 25.50 , -0.10 || 1708757785, 17.601781824544 , 78.126604746594, 0.01 , 0.01 ,26.04 , 10.26 , 1.74 , 0.17 , 358.26
2024-02-24 12:26:25,582 :- 00036: 150 , 25.50 , -0.10 || 1708757785, 17.601781824544 , 78.126604746594, 0.01 , 0.01 ,26.04 , 9.78 , 1.74 , 0.15 , 358.26
2024-02-24 12:26:25,611 :- 00037: 153 , 25.60 , -0.10 || 1708757785, 17.601781824544 , 78.126604746594, 0.01 , 0.01 ,26.04 , 9.22 , 1.76 , 0.12 , 358.26
2024-02-24 12:26:25,641 :- 00038: 156 , 25.60 , -0.10 || 1708757785, 17.601788368435 , 78.126604644894, 0.01 , 0.01 ,26.07 , 9.91 , 1.88 , 0.11 , 358.27
