2024-01-29 16:48:20,119 :- 00001: Feedback Code Starting
2024-01-29 16:48:20,142 :- 00002: 213 , 20.00 , -0.20 || 1706527100, 17.601725127987 , 78.126608478079, 0.01 , 0.01 ,23.58 , 9.59 , 1.01 , -0.35 , 359.52
2024-01-29 16:48:20,172 :- 00003: 216 , 20.00 , -0.20 || 1706527100, 17.601725127987 , 78.126608478079, 0.01 , 0.01 ,23.58 , 10.09 , 0.97 , -0.33 , 359.54
2024-01-29 16:48:20,202 :- 00004: 219 , 20.00 , -0.20 || 1706527100, 17.601725127987 , 78.126608478079, 0.01 , 0.01 ,23.56 , 9.83 , 0.91 , -0.31 , 359.61
2024-01-29 16:48:20,232 :- 00005: 222 , 20.00 , -0.20 || 1706527100, 17.601731041486 , 78.126608416788, 0.01 , 0.01 ,23.56 , 9.52 , 0.89 , -0.32 , 359.65
2024-01-29 16:48:20,262 :- 00006: 225 , 20.00 , -0.20 || 1706527100, 17.601731041486 , 78.126608416788, 0.01 , 0.01 ,23.56 , 9.63 , 0.81 , -0.27 , 359.75
2024-01-29 16:48:20,292 :- 00007: 228 , 20.00 , -0.20 || 1706527100, 17.601731041486 , 78.126608416788, 0.01 , 0.01 ,23.56 , 9.59 , 0.78 , -0.27 , 359.80
2024-01-29 16:48:20,322 :- 00008: 231 , 20.00 , -0.20 || 1706527100, 17.601736967459 , 78.126608349946, 0.01 , 0.01 ,23.61 , 9.83 , 0.77 , -0.28 , 359.88
2024-01-29 16:48:20,352 :- 00009: 234 , 20.00 , -0.20 || 1706527100, 17.601736967459 , 78.126608349946, 0.01 , 0.01 ,23.61 , 9.91 , 0.78 , -0.26 , 359.91
2024-01-29 16:48:20,382 :- 00010: 237 , 20.00 , -0.20 || 1706527100, 17.601736967459 , 78.126608349946, 0.01 , 0.01 ,23.61 , 9.88 , 0.81 , -0.29 , 359.92
2024-01-29 16:48:20,412 :- 00011: 240 , 20.00 , -0.20 || 1706527100, 17.601736967459 , 78.126608349946, 0.01 , 0.01 ,23.51 , 9.62 , 0.82 , -0.30 , 359.91
2024-01-29 16:48:20,442 :- 00012: 243 , 20.00 , -0.00 || 1706527100, 17.601742867610 , 78.126608355690, 0.01 , 0.01 ,23.51 , 9.72 , 0.83 , -0.30 , 359.88
2024-01-29 16:48:20,472 :- 00013: 246 , 20.00 , -0.00 || 1706527100, 17.601742867610 , 78.126608355690, 0.01 , 0.01 ,23.51 , 9.75 , 0.82 , -0.31 , 359.86
2024-01-29 16:48:20,502 :- 00014: 249 , 20.00 , -0.00 || 1706527100, 17.601742867610 , 78.126608355690, 0.01 , 0.01 ,23.50 , 9.79 , 0.78 , -0.32 , 359.83
2024-01-29 16:48:20,532 :- 00015: 252 , 20.00 , -0.00 || 1706527100, 17.601748766021 , 78.126608368945, 0.01 , 0.01 ,23.50 , 9.97 , 0.77 , -0.33 , 359.83
2024-01-29 16:48:20,562 :- 00016: 255 , 20.00 , -0.00 || 1706527100, 17.601748766021 , 78.126608368945, 0.01 , 0.01 ,23.50 , 9.63 , 0.77 , -0.35 , 359.84
2024-01-29 16:48:20,592 :- 00017: 002 , 20.00 , -0.00 || 1706527100, 17.601748766021 , 78.126608368945, 0.01 , 0.01 ,23.50 , 9.96 , 0.78 , -0.36 , 359.85
2024-01-29 16:48:20,622 :- 00018: 005 , 20.00 , -0.00 || 1706527100, 17.601754657005 , 78.126608352055, 0.01 , 0.01 ,23.47 , 9.83 , 0.80 , -0.36 , 359.87
2024-01-29 16:48:20,652 :- 00019: 008 , 20.00 , -0.00 || 1706527100, 17.601754657005 , 78.126608352055, 0.01 , 0.01 ,23.47 , 9.78 , 0.83 , -0.38 , 359.88
2024-01-29 16:48:20,682 :- 00020: 011 , 20.00 , -0.00 || 1706527100, 17.601754657005 , 78.126608352055, 0.01 , 0.01 ,23.47 , 9.87 , 0.90 , -0.40 , 359.88
