2024-02-21 16:43:17,376 :- 00001: Feedback Code Starting
2024-02-21 16:43:17,397 :- 00002: 017 , 10.00 , -0.20 || 1708513997, 17.601697428125 , 78.126609041306, 0.01 , 0.01 ,10.83 , 10.01 , 1.07 , 0.51 , 359.09
2024-02-21 16:43:17,428 :- 00003: 020 , 10.00 , -0.20 || 1708513997, 17.601700109117 , 78.126609007749, 0.01 , 0.01 ,10.70 , 9.85 , 1.06 , 0.50 , 359.09
2024-02-21 16:43:17,458 :- 00004: 023 , 10.00 , -0.20 || 1708513997, 17.601700109117 , 78.126609007749, 0.01 , 0.01 ,10.70 , 9.77 , 1.07 , 0.50 , 359.09
2024-02-21 16:43:17,488 :- 00005: 026 , 10.00 , -0.20 || 1708513997, 17.601700109117 , 78.126609007749, 0.01 , 0.01 ,10.70 , 9.87 , 1.10 , 0.49 , 359.10
2024-02-21 16:43:17,518 :- 00006: 029 , 10.00 , -0.20 || 1708513997, 17.601700109117 , 78.126609007749, 0.01 , 0.01 ,10.77 , 9.76 , 1.10 , 0.48 , 359.11
2024-02-21 16:43:17,548 :- 00007: 032 , 10.00 , -0.20 || 1708513997, 17.601702806965 , 78.126608980375, 0.01 , 0.01 ,10.77 , 9.89 , 1.11 , 0.49 , 359.11
2024-02-21 16:43:17,577 :- 00008: 035 , 10.00 , -0.20 || 1708513997, 17.601702806965 , 78.126608980375, 0.01 , 0.01 ,10.77 , 9.87 , 1.12 , 0.50 , 359.11
2024-02-21 16:43:17,608 :- 00009: 038 , 10.00 , -0.20 || 1708513997, 17.601702806965 , 78.126608980375, 0.01 , 0.01 ,10.74 , 9.64 , 1.13 , 0.49 , 359.11
2024-02-21 16:43:17,638 :- 00010: 041 , 10.00 , -0.20 || 1708513997, 17.601705496337 , 78.126608986114, 0.01 , 0.01 ,10.74 , 9.83 , 1.14 , 0.48 , 359.11
2024-02-21 16:43:17,667 :- 00011: 044 , 10.00 , -0.20 || 1708513997, 17.601705496337 , 78.126608986114, 0.01 , 0.01 ,10.74 , 9.95 , 1.16 , 0.49 , 359.11
2024-02-21 16:43:17,698 :- 00012: 047 , 10.00 , -0.20 || 1708513997, 17.601705496337 , 78.126608986114, 0.01 , 0.01 ,10.74 , 9.85 , 1.17 , 0.47 , 359.11
2024-02-21 16:43:17,727 :- 00013: 050 , 10.00 , -0.20 || 1708513997, 17.601708189553 , 78.126609005850, 0.01 , 0.01 ,10.65 , 9.86 , 1.18 , 0.47 , 359.12
