2024-02-21 16:40:51,529 :- 00001: Feedback Code Starting
2024-02-21 16:40:51,552 :- 00002: 024 , 21.20 , -0.10 || 1708513851, 17.601538144504 , 78.126612543640, 0.01 , 0.01 ,21.65 , 10.58 , 1.67 , 0.52 , 359.20
2024-02-21 16:40:51,582 :- 00003: 027 , 21.20 , -0.10 || 1708513851, 17.601538144504 , 78.126612543640, 0.01 , 0.01 ,21.65 , 9.93 , 1.66 , 0.49 , 359.20
2024-02-21 16:40:51,612 :- 00004: 030 , 21.20 , -0.10 || 1708513851, 17.601538144504 , 78.126612543640, 0.01 , 0.01 ,21.65 , 10.23 , 1.67 , 0.49 , 359.20
2024-02-21 16:40:51,642 :- 00005: 033 , 21.20 , -0.10 || 1708513851, 17.601543571022 , 78.126612533498, 0.01 , 0.01 ,21.62 , 9.62 , 1.67 , 0.50 , 359.20
2024-02-21 16:40:51,672 :- 00006: 036 , 21.20 , -0.10 || 1708513851, 17.601543571022 , 78.126612533498, 0.01 , 0.01 ,21.62 , 9.72 , 1.67 , 0.49 , 359.21
2024-02-21 16:40:51,702 :- 00007: 039 , 21.20 , -0.10 || 1708513851, 17.601543571022 , 78.126612533498, 0.01 , 0.01 ,21.62 , 9.58 , 1.69 , 0.48 , 359.20
2024-02-21 16:40:51,732 :- 00008: 042 , 21.20 , -0.10 || 1708513851, 17.601549009131 , 78.126612458468, 0.01 , 0.01 ,21.68 , 9.65 , 1.70 , 0.47 , 359.20
2024-02-21 16:40:51,762 :- 00009: 045 , 21.20 , -0.10 || 1708513851, 17.601549009131 , 78.126612458468, 0.01 , 0.01 ,21.68 , 9.46 , 1.71 , 0.46 , 359.20
2024-02-21 16:40:51,792 :- 00010: 048 , 21.20 , -0.10 || 1708513851, 17.601549009131 , 78.126612458468, 0.01 , 0.01 ,21.68 , 9.93 , 1.73 , 0.45 , 359.21
2024-02-21 16:40:51,822 :- 00011: 051 , 21.20 , -0.10 || 1708513851, 17.601554453736 , 78.126612482221, 0.01 , 0.01 ,21.70 , 9.47 , 1.76 , 0.41 , 359.21
2024-02-21 16:40:51,852 :- 00012: 054 , 21.20 , -0.10 || 1708513851, 17.601554453736 , 78.126612482221, 0.01 , 0.01 ,21.70 , 10.07 , 1.78 , 0.41 , 359.21
2024-02-21 16:40:51,882 :- 00013: 057 , 21.20 , -0.10 || 1708513851, 17.601554453736 , 78.126612482221, 0.01 , 0.01 ,21.70 , 9.84 , 1.81 , 0.40 , 359.21
2024-02-21 16:40:51,912 :- 00014: 060 , 21.20 , -0.10 || 1708513851, 17.601554453736 , 78.126612482221, 0.01 , 0.01 ,21.70 , 10.09 , 1.81 , 0.39 , 359.20
2024-02-21 16:40:51,942 :- 00015: 063 , 21.30 , -0.10 || 1708513851, 17.601559910988 , 78.126612464543, 0.01 , 0.01 ,21.75 , 9.95 , 1.83 , 0.38 , 359.20
