2024-01-24 12:41:55,002 :- 00001: Feedback Code Starting
2024-01-24 12:41:55,023 :- 00002: 085 , 30.00 , -0.70 || 1706080315, 17.601669353724 , 78.126609104148, 0.01 , 0.01 ,28.37 , 10.12 , 0.91 , -0.72 , 358.90
2024-01-24 12:41:55,053 :- 00003: 088 , 30.00 , -0.70 || 1706080315, 17.601669353724 , 78.126609104148, 0.01 , 0.01 ,28.37 , 9.64 , 0.91 , -0.69 , 358.90
2024-01-24 12:41:55,083 :- 00004: 091 , 30.00 , -0.80 || 1706080315, 17.601669353724 , 78.126609104148, 0.01 , 0.01 ,28.37 , 9.57 , 0.90 , -0.68 , 358.91
2024-01-24 12:41:55,112 :- 00005: 091 , 30.00 , -0.80 || 1706080315, 17.601669353724 , 78.126609104148, 0.01 , 0.01 ,28.37 , 9.57 , 0.90 , -0.68 , 358.911706080315, 17.601669353724 , 78.126609104148, 0.01 , 0.01 ,28.62 , 9.69 , 0.90 , -0.64 , 358.92
2024-01-24 12:41:55,143 :- 00006: 097 , 30.00 , -0.80 || 1706080315, 17.601676534469 , 78.126608959974, 0.01 , 0.01 ,28.62 , 9.10 , 0.87 , -0.63 , 358.95
2024-01-24 12:41:55,173 :- 00007: 100 , 30.00 , -1.00 || 1706080315, 17.601676534469 , 78.126608959974, 0.01 , 0.01 ,28.62 , 9.80 , 0.86 , -0.62 , 358.97
2024-01-24 12:41:55,203 :- 00008: 103 , 30.00 , -1.00 || 1706080315, 17.601676534469 , 78.126608959974, 0.01 , 0.01 ,28.62 , 9.94 , 0.82 , -0.61 , 359.03
2024-01-24 12:41:55,233 :- 00009: 106 , 30.00 , -1.00 || 1706080315, 17.601683767091 , 78.126608820262, 0.01 , 0.01 ,28.82 , 9.27 , 0.80 , -0.62 , 359.07
2024-01-24 12:41:55,263 :- 00010: 109 , 30.00 , -1.00 || 1706080315, 17.601683767091 , 78.126608820262, 0.01 , 0.01 ,28.82 , 9.49 , 0.76 , -0.66 , 359.16
2024-01-24 12:41:55,293 :- 00011: 112 , 30.00 , -1.20 || 1706080315, 17.601683767091 , 78.126608820262, 0.01 , 0.01 ,28.82 , 9.82 , 0.75 , -0.66 , 359.21
2024-01-24 12:41:55,323 :- 00012: 115 , 30.00 , -1.20 || 1706080315, 17.601691038082 , 78.126608687794, 0.01 , 0.01 ,28.98 , 9.63 , 0.73 , -0.68 , 359.32
2024-01-24 12:41:55,353 :- 00013: 118 , 30.00 , -1.20 || 1706080315, 17.601691038082 , 78.126608687794, 0.01 , 0.01 ,28.98 , 9.90 , 0.73 , -0.72 , 359.37
2024-01-24 12:41:55,383 :- 00014: 121 , 30.00 , -0.50 || 1706080315, 17.601691038082 , 78.126608687794, 0.01 , 0.01 ,28.98 , 9.60 , 0.75 , -0.77 , 359.47
2024-01-24 12:41:55,413 :- 00015: 124 , 30.00 , -0.20 || 1706080315, 17.601691038082 , 78.126608687794, 0.01 , 0.01 ,29.22 , 10.10 , 0.75 , -0.79 , 359.52
2024-01-24 12:41:55,443 :- 00016: 127 , 30.00 , -0.20 || 1706080315, 17.601698370482 , 78.126608607732, 0.01 , 0.01 ,29.22 , 10.26 , 0.76 , -0.85 , 359.62
2024-01-24 12:41:55,473 :- 00017: 130 , 30.00 , -0.20 || 1706080315, 17.601698370482 , 78.126608607732, 0.01 , 0.01 ,29.22 , 10.04 , 0.77 , -0.87 , 359.67
2024-01-24 12:41:55,503 :- 00018: 133 , 30.00 , -0.20 || 1706080315, 17.601698370482 , 78.126608607732, 0.01 , 0.01 ,29.22 , 10.06 , 0.79 , -0.90 , 359.78
2024-01-24 12:41:55,533 :- 00019: 136 , 30.00 , -0.20 || 1706080315, 17.601705787903 , 78.126608581949, 0.01 , 0.01 ,29.56 , 9.95 , 0.81 , -0.91 , 359.84
2024-01-24 12:41:55,563 :- 00020: 139 , 30.00 , -0.20 || 1706080315, 17.601705787903 , 78.126608581949, 0.01 , 0.01 ,29.56 , 10.30 , 0.85 , -0.92 , 359.95
2024-01-24 12:41:55,593 :- 00021: 142 , 30.00 , -0.20 || 1706080315, 17.601705787903 , 78.126608581949, 0.01 , 0.01 ,29.56 , 9.89 , 0.88 , -0.91 , 359.99
2024-01-24 12:41:55,623 :- 00022: 145 , 30.00 , -0.20 || 1706080315, 17.601713296042 , 78.126608624378, 0.01 , 0.01 ,29.92 , 10.25 , 0.97 , -0.92 , 0.05
2024-01-24 12:41:55,653 :- 00023: 148 , 30.00 , -0.20 || 1706080315, 17.601713296042 , 78.126608624378, 0.01 , 0.01 ,29.92 , 9.72 , 1.03 , -0.90 , 0.05
2024-01-24 12:41:55,683 :- 00024: 151 , 30.00 , -0.20 || 1706080315, 17.601713296042 , 78.126608624378, 0.01 , 0.01 ,29.92 , 10.01 , 1.12 , -0.88 , 0.03
2024-01-24 12:41:55,713 :- 00025: 154 , 30.00 , -0.20 || 1706080315, 17.601713296042 , 78.126608624378, 0.01 , 0.01 ,30.21 , 9.91 , 1.16 , -0.87 , 0.01
2024-01-24 12:41:55,743 :- 00026: 157 , 30.00 , -0.20 || 1706080315, 17.601720878282 , 78.126608677582, 0.01 , 0.01 ,30.21 , 9.61 , 1.20 , -0.84 , 359.96
2024-01-24 12:41:55,773 :- 00027: 160 , 30.00 , -0.20 || 1706080315, 17.601720878282 , 78.126608677582, 0.01 , 0.01 ,30.21 , 9.57 , 1.21 , -0.82 , 359.94
2024-01-24 12:41:55,803 :- 00028: 163 , 30.00 , -0.00 || 1706080315, 17.601720878282 , 78.126608677582, 0.01 , 0.01 ,30.21 , 9.50 , 1.19 , -0.79 , 359.91
2024-01-24 12:41:55,833 :- 00029: 166 , 30.00 , -0.00 || 1706080315, 17.601728541102 , 78.126608726417, 0.01 , 0.01 ,30.53 , 10.04 , 1.18 , -0.78 , 359.90
2024-01-24 12:41:55,863 :- 00030: 169 , 30.00 , -0.00 || 1706080315, 17.601728541102 , 78.126608726417, 0.01 , 0.01 ,30.53 , 9.41 , 1.17 , -0.73 , 359.91
2024-01-24 12:41:55,893 :- 00031: 172 , 30.00 , -0.00 || 1706080315, 17.601728541102 , 78.126608726417, 0.01 , 0.01 ,30.53 , 9.30 , 1.15 , -0.74 , 359.91
2024-01-24 12:41:55,923 :- 00032: 175 , 30.00 , -0.00 || 1706080315, 17.601736269794 , 78.126608733164, 0.01 , 0.01 ,30.80 , 9.63 , 1.13 , -0.73 , 359.93
2024-01-24 12:41:55,953 :- 00033: 178 , 30.00 , -0.00 || 1706080315, 17.601736269794 , 78.126608733164, 0.01 , 0.01 ,30.80 , 9.78 , 1.11 , -0.72 , 359.95
2024-01-24 12:41:55,983 :- 00034: 181 , 30.00 , 00.00 || 1706080315, 17.601736269794 , 78.126608733164, 0.01 , 0.01 ,30.80 , 9.73 , 1.08 , -0.75 , 359.96
2024-01-24 12:41:56,013 :- 00035: 184 , 30.00 , 00.00 || 1706080316, 17.601736269794 , 78.126608733164, 0.01 , 0.01 ,30.80 , 9.64 , 1.05 , -0.75 , 359.96
2024-01-24 12:41:56,043 :- 00036: 187 , 30.00 , 00.00 || 1706080316, 17.601744062263 , 78.126608752965, 0.01 , 0.01 ,31.05 , 9.76 , 1.00 , -0.78 , 359.94
2024-01-24 12:41:56,073 :- 00037: 190 , 30.00 , 00.00 || 1706080316, 17.601744062263 , 78.126608752965, 0.01 , 0.01 ,31.05 , 9.86 , 0.98 , -0.78 , 359.93
