2024-01-24 12:59:24,977 :- 00001: Feedback Code Starting
2024-01-24 12:59:25,006 :- 00002: 125 , 30.00 , 00.00 || 1706081365, 17.601641962677 , 78.126609819202, 0.01 , 0.01 ,24.72 , 10.08 , 1.09 , -0.74 , 359.29
2024-01-24 12:59:25,035 :- 00003: 128 , 30.00 , 00.00 || 1706081365, 17.601641962677 , 78.126609819202, 0.01 , 0.01 ,24.98 , 9.90 , 1.08 , -0.75 , 359.29
2024-01-24 12:59:25,065 :- 00004: 131 , 30.00 , 00.00 || 1706081365, 17.601648230676 , 78.126609764269, 0.01 , 0.01 ,24.98 , 9.81 , 1.08 , -0.76 , 359.28
2024-01-24 12:59:25,095 :- 00005: 134 , 30.00 , 00.00 || 1706081365, 17.601648230676 , 78.126609764269, 0.01 , 0.01 ,24.98 , 10.14 , 1.08 , -0.74 , 359.27
2024-01-24 12:59:25,125 :- 00006: 137 , 30.00 , 00.00 || 1706081365, 17.601654526916 , 78.126609704570, 0.01 , 0.01 ,25.09 , 10.05 , 1.05 , -0.74 , 359.26
2024-01-24 12:59:25,155 :- 00007: 140 , 30.00 , 00.00 || 1706081365, 17.601654526916 , 78.126609704570, 0.01 , 0.01 ,25.09 , 9.97 , 1.04 , -0.73 , 359.24
2024-01-24 12:59:25,185 :- 00008: 143 , 30.00 , 00.00 || 1706081365, 17.601654526916 , 78.126609704570, 0.01 , 0.01 ,25.09 , 9.61 , 1.04 , -0.70 , 359.23
2024-01-24 12:59:25,215 :- 00009: 146 , 30.00 , 00.00 || 1706081365, 17.601654526916 , 78.126609704570, 0.01 , 0.01 ,25.29 , 9.92 , 1.02 , -0.69 , 359.22
2024-01-24 12:59:25,245 :- 00010: 149 , 30.00 , 00.00 || 1706081365, 17.601660872091 , 78.126609602454, 0.01 , 0.01 ,25.29 , 9.96 , 1.01 , -0.63 , 359.21
2024-01-24 12:59:25,275 :- 00011: 152 , 30.00 , 00.00 || 1706081365, 17.601660872091 , 78.126609602454, 0.01 , 0.01 ,25.29 , 9.61 , 1.01 , -0.62 , 359.20
2024-01-24 12:59:25,305 :- 00012: 155 , 30.00 , -0.10 || 1706081365, 17.601660872091 , 78.126609602454, 0.01 , 0.01 ,25.36 , 9.46 , 0.99 , -0.60 , 359.20
2024-01-24 12:59:25,335 :- 00013: 158 , 30.00 , -0.10 || 1706081365, 17.601667236158 , 78.126609516792, 0.01 , 0.01 ,25.36 , 9.48 , 0.99 , -0.58 , 359.20
2024-01-24 12:59:25,365 :- 00014: 161 , 30.00 , -0.10 || 1706081365, 17.601667236158 , 78.126609516792, 0.01 , 0.01 ,25.36 , 9.89 , 0.98 , -0.52 , 359.18
2024-01-24 12:59:25,395 :- 00015: 164 , 30.00 , -0.10 || 1706081365, 17.601667236158 , 78.126609516792, 0.01 , 0.01 ,25.36 , 9.71 , 0.98 , -0.53 , 359.17
2024-01-24 12:59:25,425 :- 00016: 167 , 30.00 , -0.10 || 1706081365, 17.601673630794 , 78.126609421694, 0.01 , 0.01 ,25.48 , 9.55 , 0.98 , -0.51 , 359.15
2024-01-24 12:59:25,455 :- 00017: 170 , 30.00 , -0.10 || 1706081365, 17.601673630794 , 78.126609421694, 0.01 , 0.01 ,25.48 , 9.92 , 0.98 , -0.48 , 359.14
2024-01-24 12:59:25,485 :- 00018: 173 , 30.00 , -0.10 || 1706081365, 17.601673630794 , 78.126609421694, 0.01 , 0.01 ,25.48 , 9.37 , 0.99 , -0.49 , 359.13
2024-01-24 12:59:25,515 :- 00019: 176 , 30.00 , -0.10 || 1706081365, 17.601673630794 , 78.126609421694, 0.01 , 0.01 ,25.59 , 9.69 , 1.00 , -0.50 , 359.12
2024-01-24 12:59:25,545 :- 00020: 179 , 30.00 , -0.10 || 1706081365, 17.601680051494 , 78.126609350780, 0.01 , 0.01 ,25.59 , 10.07 , 1.01 , -0.47 , 359.12
2024-01-24 12:59:25,575 :- 00021: 182 , 30.00 , -0.10 || 1706081365, 17.601680051494 , 78.126609350780, 0.01 , 0.01 ,25.59 , 9.68 , 1.02 , -0.47 , 359.12
2024-01-24 12:59:25,605 :- 00022: 185 , 30.00 , -0.10 || 1706081365, 17.601680051494 , 78.126609350780, 0.01 , 0.01 ,25.68 , 9.60 , 1.04 , -0.49 , 359.12
2024-01-24 12:59:25,635 :- 00023: 188 , 30.00 , -0.10 || 1706081365, 17.601686495565 , 78.126609252400, 0.01 , 0.01 ,25.68 , 9.67 , 1.03 , -0.49 , 359.11
2024-01-24 12:59:25,665 :- 00024: 191 , 30.00 , -0.10 || 1706081365, 17.601686495565 , 78.126609252400, 0.01 , 0.01 ,25.68 , 9.67 , 1.03 , -0.52 , 359.10
2024-01-24 12:59:25,695 :- 00025: 194 , 30.00 , -0.10 || 1706081365, 17.601686495565 , 78.126609252400, 0.01 , 0.01 ,25.68 , 9.63 , 1.03 , -0.52 , 359.09
2024-01-24 12:59:25,725 :- 00026: 197 , 30.00 , -0.20 || 1706081365, 17.601692946030 , 78.126609198776, 0.01 , 0.01 ,25.70 , 10.03 , 1.04 , -0.59 , 359.09
