2024-02-20 15:31:29,617 :- 00001: Feedback Code Starting
2024-02-20 15:31:29,643 :- 00002: 179 , 21.50 , -0.50 || 1708423289, 17.601699252662 , 78.126608758036, 0.01 , 0.01 ,21.94 , 10.05 , 1.35 , 0.06 , 355.52
2024-02-20 15:31:29,673 :- 00003: 182 , 21.50 , -0.50 || 1708423289, 17.601699252662 , 78.126608758036, 0.01 , 0.01 ,21.94 , 9.84 , 1.36 , 0.05 , 355.48
2024-02-20 15:31:29,703 :- 00004: 185 , 21.50 , -0.50 || 1708423289, 17.601699252662 , 78.126608758036, 0.01 , 0.01 ,21.94 , 10.21 , 1.39 , 0.03 , 355.41
2024-02-20 15:31:29,733 :- 00005: 188 , 21.50 , -0.50 || 1708423289, 17.601704738789 , 78.126608312610, 0.01 , 0.01 ,21.96 , 9.77 , 1.38 , 0.01 , 355.37
2024-02-20 15:31:29,763 :- 00006: 191 , 21.50 , -0.50 || 1708423289, 17.601704738789 , 78.126608312610, 0.01 , 0.01 ,21.96 , 10.25 , 1.41 , -0.00 , 355.31
2024-02-20 15:31:29,793 :- 00007: 194 , 21.50 , -0.50 || 1708423289, 17.601704738789 , 78.126608312610, 0.01 , 0.01 ,21.96 , 10.07 , 1.40 , -0.00 , 355.27
2024-02-20 15:31:29,823 :- 00008: 197 , 21.60 , -0.50 || 1708423289, 17.601710260864 , 78.126607826446, 0.01 , 0.01 ,22.05 , 9.82 , 1.36 , -0.01 , 355.21
2024-02-20 15:31:29,853 :- 00009: 200 , 21.60 , -0.50 || 1708423289, 17.601710260864 , 78.126607826446, 0.01 , 0.01 ,22.05 , 10.15 , 1.36 , 0.01 , 355.18
2024-02-20 15:31:29,883 :- 00010: 203 , 21.60 , -0.50 || 1708423289, 17.601710260864 , 78.126607826446, 0.01 , 0.01 ,22.05 , 9.92 , 1.36 , 0.02 , 355.12
2024-02-20 15:31:29,913 :- 00011: 206 , 21.60 , -0.50 || 1708423289, 17.601710260864 , 78.126607826446, 0.01 , 0.01 ,22.27 , 9.84 , 1.35 , 0.05 , 355.09
2024-02-20 15:31:29,943 :- 00012: 209 , 21.60 , -0.50 || 1708423289, 17.601715814200 , 78.126607332038, 0.01 , 0.01 ,22.27 , 9.93 , 1.36 , 0.08 , 355.04
2024-02-20 15:31:29,973 :- 00013: 212 , 21.60 , -0.50 || 1708423289, 17.601715814200 , 78.126607332038, 0.01 , 0.01 ,22.27 , 9.76 , 1.36 , 0.09 , 355.01
2024-02-20 15:31:30,003 :- 00014: 215 , 21.70 , -0.50 || 1708423290, 17.601715814200 , 78.126607332038, 0.01 , 0.01 ,22.27 , 9.84 , 1.38 , 0.11 , 354.96
2024-02-20 15:31:30,032 :- 00015: 215 , 21.70 , -0.50 || 1708423290, 17.601715814200 , 78.126607332038, 0.01 , 0.01 ,22.27 , 9.84 , 1.38 , 0.11 , 354.961708423290, 17.601721378790 , 78.126606845585, 0.01 , 0.01 ,22.26 , 9.57 , 1.38 , 0.13 , 354.94
